YEAR,Location,Death Rate,"Deaths ",URL
2024,AL,23.7,1212,/nchs/state-stats/states/al.html
2024,AK,24.4,182,/nchs/state-stats/states/ak.html
2024,AZ,16.9,1331,/nchs/state-stats/states/az.html
2024,AR,20.6,638,/nchs/state-stats/states/ar.html
2024,CA,7,2853,/nchs/state-stats/states/ca.html
2024,CO,15.3,961,/nchs/state-stats/states/co.html
2024,CT,5.8,224,/nchs/state-stats/states/ct.html
2024,DE,11.8,123,/nchs/state-stats/states/de.html
2024,District of Columbia,19.7,148,/nchs/state-stats/states/dc.html
2024,FL,12.7,3191,/nchs/state-stats/states/fl.html
2024,GA,17.6,1985,/nchs/state-stats/states/ga.html
2024,HI,3.7,56,/nchs/state-stats/states/hi.html
2024,ID,15.9,331,/nchs/state-stats/states/id.html
2024,IL,12.4,1563,/nchs/state-stats/states/il.html
2024,IN,17.2,1196,/nchs/state-stats/states/in.html
2024,IA,11.8,389,/nchs/state-stats/states/ia.html
2024,KS,15.2,446,/nchs/state-stats/states/ks.html
2024,KY,18.5,870,/nchs/state-stats/states/ky.html
2024,LA,22.9,1031,/nchs/state-stats/states/la.html
2024,ME,11.9,181,/nchs/state-stats/states/me.html
2024,MD,11.6,716,/nchs/state-stats/states/md.html
2024,MA,3.8,287,/nchs/state-stats/states/ma.html
2024,MI,11.9,1228,/nchs/state-stats/states/mi.html
2024,MN,9.8,582,/nchs/state-stats/states/mn.html
2024,MS,28,810,/nchs/state-stats/states/ms.html
2024,MO,19.6,1234,/nchs/state-stats/states/mo.html
2024,MT,20.2,247,/nchs/state-stats/states/mt.html
2024,NE,10.9,218,/nchs/state-stats/states/ne.html
2024,NV,17.2,582,/nchs/state-stats/states/nv.html
2024,NH,10.2,152,/nchs/state-stats/states/nh.html
2024,NJ,4,393,/nchs/state-stats/states/nj.html
2024,NM,26.6,563,/nchs/state-stats/states/nm.html
2024,NY,4.4,896,/nchs/state-stats/states/ny.html
2024,NC,16.3,1835,/nchs/state-stats/states/nc.html
2024,ND,12.2,95,/nchs/state-stats/states/nd.html
2024,OH,14.6,1745,/nchs/state-stats/states/oh.html
2024,OK,19.1,794,/nchs/state-stats/states/ok.html
2024,OR,14.2,663,/nchs/state-stats/states/or.html
2024,PA,11.9,1624,/nchs/state-stats/states/pa.html
2024,RI,4.6,55,/nchs/state-stats/states/ri.html
2024,SC,19.5,1064,/nchs/state-stats/states/sc.html
2024,SD,17.3,159,/nchs/state-stats/states/sd.html
2024,TN,19.8,1448,/nchs/state-stats/states/tn.html
2024,TX,13.9,4389,/nchs/state-stats/states/tx.html
2024,UT,13.3,454,/nchs/state-stats/states/ut.html
2024,VT,10.6,76,/nchs/state-stats/states/vt.html
2024,VA,12.8,1153,/nchs/state-stats/states/va.html
2024,WA,11,915,/nchs/state-stats/states/wa.html
2024,WV,15.3,281,/nchs/state-stats/states/wv.html
2024,WI,12.1,735,/nchs/state-stats/states/wi.html
2024,WY,23.4,143,/nchs/state-stats/states/wy.html
2023,AL,25.6,1292,/nchs/state-stats/states/al.html
2023,AK,23.5,176,/nchs/state-stats/states/ak.html
2023,AZ,18.5,1419,/nchs/state-stats/states/az.html
2023,AR,21.9,671,/nchs/state-stats/states/ar.html
2023,CA,8,3209,/nchs/state-stats/states/ca.html
2023,CO,16.6,1019,/nchs/state-stats/states/co.html
2023,CT,6.2,225,/nchs/state-stats/states/ct.html
2023,DE,12,124,/nchs/state-stats/states/de.html
2023,District of Columbia,30.6,225,/nchs/state-stats/states/dc.html
2023,FL,13.7,3253,/nchs/state-stats/states/fl.html
2023,GA,18.6,2070,/nchs/state-stats/states/ga.html
2023,HI,4.9,73,/nchs/state-stats/states/hi.html
2023,ID,17.9,356,/nchs/state-stats/states/id.html
2023,IL,13.5,1691,/nchs/state-stats/states/il.html
2023,IN,18.3,1258,/nchs/state-stats/states/in.html
2023,IA,10.5,341,/nchs/state-stats/states/ia.html
2023,KS,16.3,475,/nchs/state-stats/states/ks.html
2023,KY,18.4,841,/nchs/state-stats/states/ky.html
2023,LA,28.3,1261,/nchs/state-stats/states/la.html
2023,ME,14,200,/nchs/state-stats/states/me.html
2023,MD,12.3,737,/nchs/state-stats/states/md.html
2023,MA,3.7,270,/nchs/state-stats/states/ma.html
2023,MI,13.9,1384,/nchs/state-stats/states/mi.html
2023,MN,8.9,525,/nchs/state-stats/states/mn.html
2023,MS,29.4,844,/nchs/state-stats/states/ms.html
2023,MO,21.4,1324,/nchs/state-stats/states/mo.html
2023,MT,21.5,247,/nchs/state-stats/states/mt.html
2023,NE,10.6,213,/nchs/state-stats/states/ne.html
2023,NV,18.4,616,/nchs/state-stats/states/nv.html
2023,NH,9.6,143,/nchs/state-stats/states/nh.html
2023,NJ,4.6,430,/nchs/state-stats/states/nj.html
2023,NM,25.3,530,/nchs/state-stats/states/nm.html
2023,NY,4.7,943,/nchs/state-stats/states/ny.html
2023,NC,16.4,1803,/nchs/state-stats/states/nc.html
2023,ND,12.8,103,/nchs/state-stats/states/nd.html
2023,OH,15,1768,/nchs/state-stats/states/oh.html
2023,OK,19.9,814,/nchs/state-stats/states/ok.html
2023,OR,14.2,642,/nchs/state-stats/states/or.html
2023,PA,13.6,1807,/nchs/state-stats/states/pa.html
2023,RI,4.8,58,/nchs/state-stats/states/ri.html
2023,SC,19.1,1019,/nchs/state-stats/states/sc.html
2023,SD,12.3,112,/nchs/state-stats/states/sd.html
2023,TN,22,1587,/nchs/state-stats/states/tn.html
2023,TX,14.9,4561,/nchs/state-stats/states/tx.html
2023,UT,14.8,489,/nchs/state-stats/states/ut.html
2023,VT,12,83,/nchs/state-stats/states/vt.html
2023,VA,13.8,1237,/nchs/state-stats/states/va.html
2023,WA,13,1053,/nchs/state-stats/states/wa.html
2023,WV,16.8,315,/nchs/state-stats/states/wv.html
2023,WI,12.7,762,/nchs/state-stats/states/wi.html
2023,WY,21.5,130,/nchs/state-stats/states/wy.html
2022,AL,25.5,1278,/nchs/state-stats/states/al.html
2022,AK,22.4,164,/nchs/state-stats/states/ak.html
2022,AZ,20.1,1535,/nchs/state-stats/states/az.html
2022,AR,21.9,666,/nchs/state-stats/states/ar.html
2022,CA,8.6,3484,/nchs/state-stats/states/ca.html
2022,CO,17.1,1036,/nchs/state-stats/states/co.html
2022,CT,6.9,252,/nchs/state-stats/states/ct.html
2022,DE,11.9,124,/nchs/state-stats/states/de.html
2022,District of Columbia,21.4,154,/nchs/state-stats/states/dc.html
2022,FL,14,3232,/nchs/state-stats/states/fl.html
